DDI ID,Description,brand,Model,S/N,Floor,Side,Department,REMARKS,,supplied company,Eng./contact,LPO/invoice,Sub Category(BIO),Original Value (PR),Accumulated Depreciation,Salvage Value,Item Age,install date,Usage Status,Full Loss
BE00030,Waterbath,NB20,NB20,02+AC0-1097,4,B,IICTU,,,Tectron,,,,,,,,2010,USE,
BE00031,Microcentrifuge,SD,SD,0 58445,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00032,Vortex Mixer,STD MINI,STD MINI,120315005,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00033,Microscope CKX41,olympus,CKX41,0B06356,4,B,IICTU,,,TriAlpha,,,,,,,,2004,USE,
BE00034,CO2 Incubator,Sanyo,Sanyo,10070321,4,B,IICTU,,Now MEC maintain,TriAlpha,,,,+ACI- 4,600 +ACI-,,,,2012,USE,
BE00035,CO2 Incubator,Sanyo,Sanyo,10070327,4,B,IICTU,,Now MEC maintain,TriAlpha,,,,+ACI- 4,600 +ACI-,,,,2012,USE,
BE00036,Nucleofactor AMAXA,Lonza,Lonza,21000018,4,B,IICTU,,,,,,,,,,,,,
BE00037,REVCOULTIMA PLUS+AC0-ULT+AC0-2586,+AC0-80,+AC0-80,+ACI-,0128892901100204+ACI-,4,B,IICTU,freezer room,,,,,,,,,,2011,USE,
BE00038,CO2 Incubator,Sanyo,Sanyo,10070336,4,B,IICTU,,Now MEC maintain,Trialpha,saju/55578184,,,+ACI- 4,600 +ACI-,,,,2012,USE,
BE00039,Microscope,Primo Star,Primo Star,3116015137,4,B,IICTU,,,Tectron,,,,,,,,2010,USE,
BE00040,Microscope CKX41,olympus,CKX41,0B06158,4,B,IICTU,,Now Bader Sultan Maintain,TaiAlpha,,,,,,,,2004,USE,
BE00041,+ACI-Mixer, Fisher Scientific +ACI-,0951 17980,0951 17980,260100F+AC0-2,3,B,BIO BANK,found in iictu 5/09/2020,,,,,,98,,,,2012,USE,
BE00042,Waterbath,NB20,NB20,02+AC0-1154,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00043,Sorval Centrifuge,STR40,STR40,41140611,4,B,IICTU,,,Alessa,Abraham/96964491,,,,,,,2011,USE,
BE00044,Cell counter,Countess C10281,Countess C10281,10054+AC0-015,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00045,Revco+AC0-Rel7504V20,4,4,+ACI-,001V+AC0-145871+AC0-0V+ACI-,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00046,Fumehood,Fisher,Fisher,SAF 18018,4,B,IICTU,,,,,,,,,,,2004,USE,
BE00047,LABXPERT labelling system,NIL,NIL,NIL,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00048,Forma+AC0-FRGL+AC0-4504v22,4,4,114931001100729,4,A,IICTU,,,,,,,,,,,2011,USE,
BE00049,Daewoo,FR+AC0-821NB,FR+AC0-821NB,KE149E5034014,4,B,IICTU,,,MedArabia,,,,,,,,2004,USE,
BE00050,Vortex,ABV+AC0-1,ABV+AC0-1,2010110201,4,B,IICTU,found in Store B1 25th oct,,Tectron,,,,,,,,2011,USE,
BE00051,Vortex,ABV+AC0-1,ABV+AC0-1,2010110208,4,B,IICTU,,,Tectron,,,,,,,,2011,USE,
BE00052,Vortex Analogue,ABV+AC0-1,ABV+AC0-1,NIL,4,B,IICTU,,,Tectron,,,,,,,,2011,USE,
BE00053,Biosafety cabinet,Labconco,Labconco,21138167,4,B,IICTU,,,,,,,,,,,2004,USE,
BE00054,Toshiba Refrigerator,GR+AC0-R70UD+AC0-K,GR+AC0-R70UD+AC0-K,NIL,4,B,IICTU,,,Alghanim,,,,,,,,2004,USE,
BE00055,Toshiba Refrigerator,GR+AC0-R70UD+AC0-K,GR+AC0-R70UD+AC0-K,NIL,4,B,IICTU,,,Alghanim,,,,,,,,2004,USE,
BE00056,Flowcytometer,FACSll,FACSll,V96301112,4,B,IICTU,equipment replaced by ISSAC company(26/1/2021) with new one Si:.,,,,,,,,,,,,
BE00057,AMNIS,Image Stream,Image Stream,799+AC0-03300/ISX 171,4,B,IICTU,Scrapped,,Tectron,,,,+ACI- 240,000 +ACI-,,,,,,
BE00058,Sorval,STR40,STR40,41140742,4,B,IICTU,+ACI-temp. shifted to Yacob Behbehani center(18/4/21), Dr.Amal+ACI-,,TSST,,,,,,,,2011,USE,
BE00059,Eppendorf Mini,Mini,Mini,5452BP163588,4,B,IICTU,,,C.C.C,,,,,,,,2010,USE,
BE00060,Waterbath,NB9,NB9,02+AC0-1807,4,B,IICTU,,,Tectron,,,,,,,,2010,USE,
BE00061,Centurion Centrifuge,CXT12,CXT12,12050,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00062,Vortex Analogue,ABV+AC0-1,ABV+AC0-1,NIL,4,B,IICTU,moved to store 1/9/21,,Tectron,,,,,,,,2011,USE,
BE00063,Heraeus Fresco 17 microcentrifuge,Fresco17,Fresco17,41129208,4,B,IICTU,,,TSST,,,,,,,,2010,USE,
BE00064,Light Cycler,Roche 2.0,Roche 2.0,1417337,4,B,IICTU store,Scrapped,,,,,,,,,,2010,USE,
BE00065,Microscope,Primo Star,Primo Star,3116015058,4,B,IICTU,,,Tectron,,,,,,,,2004,USE,
BE00066,Light Cycle Carousal,Carousal 2,Carousal 2,41133423,4,B,IICTU store,Scrapped,,,,,,,,,,2011,USE,
BE00067,Bio Rad (BE00927),C+AC0-1000,C+AC0-1000,CC012165,4,B,IICTU,,,ATC,,,,,,,,2010,USE,
BE00068,Mini Centrifuge,Fisher,Fisher,05+AC0-090+AC0-100,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00069,Microcentrifuge,SD,SD,0 58446,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00070,UVP PCR WORKSTATION,95+AC0-0367+AC0-02,95+AC0-0367+AC0-02,P081110+AC0-004,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00071,Block Heater,Grant BTD,,010412+AC0-1012+AC0-0190,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00072,Hotplate/Stirrer,Cimarec,Cimarec,C1768100606772,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00073,Vortex Digital,ABV+AC0-1,ABV+AC0-1,NIL,4,B,IICTU,,,Tectron,,,,,,,,2011,USE,
BE00074,Microcentrifuge,SD,SD,0 58441,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00075,Bio Rad Powerpack ,Basic,Basic,041BR79167,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00076,Bio Rad Powerpack ,Basic,Basic,041BR79163,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00077,Bio Rad Powerpack ,Basic,Basic,042BR10558,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00078,Fumehood,Fisher,Fisher,SAF 18017,4,B,IICTU,,,,,,,,,,,2004,USE,
BE00079,Shaker,Grant Bio,Grant Bio,010130+AC0-1401+AC0-0003 / 1898,4,B,IICTU,found in Genetic nov 2023,,,,,,,,,,2011,USE,
BE00080,Transblot Semidry,Transblot,Transblot,221BR47129,4,B,IICTU,,,,,,,,,,,2009,USE,
BE00081,Block Heater,Grant BTD,Grant BTD,010412+AC0-1012+AC0-0188,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00082,Heidolph Unimax 1010 ,1010 Unimax,1010 Unimax,71006031,4,B,IICTU,cold room 4th flr 15/11/2020,,central circle,,,,+ACI- 4,586 +ACI-,,,,2012,USE,
BE00083,Shaker,Illumina,Illumina,100309014,4,B,GENETIC LAB,,,TECTRON/ATC,,,,850,,,,2012,USE,
BE00084,Illumina Sequencing System,Hi Seq 2000,Hi Seq 2000,700846,4,B,GENETIC LAB,replaced it with hiseq 2500,,TECTRON/ATC,,,,,,,,2011,USE,
BE00085,C+AC0-Bot cluster Generation system,C+AC0-BOT,C+AC0-BOT,600695,4,B,GENETIC LAB,scrapped 30/5/23,,TECTRON/ATC,,,,,,,,2011,USE,
BE00086,I+AC0-SCAN,I+AC0-SCAN,I+AC0-SCAN,N0333,4,B,GENETIC LAB,,,TECTRON/ATC,,,,,,,,2011,USE,
BE00087,Hybridization oven,Illumina,Illumina,102622351,4,B,GENETIC LAB,,,TECTRON/ATC,,,,,,,,2011,USE,
BE00088,Hybridization oven,Illumina,Illumina,102622350,4,B,GENETIC LAB,,,TECTRON/ATC,,,,,,,,2011,USE,
BE00089,Shaker,Illumina,Illumina,100422001,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,TECTRON/ATC,,,,850,,,,2012,USE,
BE00090,DNA sequenser,MiSeq,MiSeq,DA0075306/11         SN:  M02645,4,B,GENOME CENTER,GENETIC LAB moved to GENOM center on 6th jan 2020,,TECTRON/ATC,,,,,,,,2012,USE,
BE00091,Agilent Bravo,Bravo 04730+AC0-202,Bravo 04730+AC0-202,SGS11BLH30602/SGG11DTH30601,4,B,GENETIC LAB,scrapped 30/5/23,,,,,,,,,,2011,USE,
BE00092,Tecan,EVO Freedom,EVO Freedom,Tec0004657,4,B,GENETIC LAB,,,TECTRON/ATC,,,,+ACI- 3,400 +ACI-,,,,2012,USE,
BE00093,Vortex,Epoch,ABV+AC0-1,2010110204,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,Tectron ,,,,,,,,2011,USE,
BE00094,Eppendorf Mini,Mini,Mini,5452ZJ454306,4,B,GENETIC LAB,found genome F3 29/08/2020,,,,,,,,,,2010,USE,
BE00095,Eppendorf Mini,Mini,Mini,5452ZJ954311,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00096,QIAxcel Automated , DNA/RNA extraction, DNA/RNA extraction,10646,4,B,GENETIC LAB,scrapped 30/5/23,,,,,,,,,,2011,USE,
BE00097,UVP Transilluminator,NIL,NIL,072210+AC0-001,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00098,Gel Doc XR,Gel Doc XR,Gel Doc XR,721BR03109,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00099,Fumehood,Fisher,Fisher,SAF 18016,4,B,GENETIC LAB,,,,,,,,,,,2004,USE,
BE00100,Hotplate/Stirrer,Cimarec/Thermo,Cimarec/Thermo,C1768100603931,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00101,Kern,EWB,EWB,101770216,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00102,Kern,ABS ,ABS ,WB1010118,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00103,IKA Vortexer,IKA MS3,IKA MS3,3.347163,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00104,Fisher Microfuge,Mini,Mini,10514344,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00105,Sorval,  ST40R ,  ST40R ,41140612,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00106,Incubator Thermo,Heratherm,Heratherm,41514180,4,B,GENETIC LAB,,,,,,,+ACI- 5,500 +ACI-,,,,2012,USE,
BE00107,Heraeus Fresco 17 microcentrifuge,FRESCO 17 ,FRESCO 17 ,41129206,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00108,Waterbath,Nb5,Nb5,02+AC0-0966,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00109,Toshiba Refrigerator,GR+AC0-R70UD+AC0-K,GR+AC0-R70UD+AC0-K,+ACI-,003042+ACI-,4,B,GENETIC LAB,,,Tareq,,,,,,,,2004,USE,
BE00110,Toshiba Refrigerator,GR+AC0-R70UD+AC0-K,GR+AC0-R70UD+AC0-K,+ACI-,002933+ACI-,4,B,GENETIC LAB,,,Tareq,,,,,,,,2004,USE,
BE00111,Toshiba Refrigerator,GR+AC0-R70UD+AC0-K,GR+AC0-R70UD+AC0-K,NIL,4,B,GENETIC LAB,with general service 12/11/2020,,Tareq,,,,,,,,2004,USE,
BE00112,ABI PCR,Veriti,Veriti,299029347,4,B,GENETIC LAB,,,Bader Sultan,,,,,,,,2010,USE,
BE00113,ABI PCR,Veriti,Veriti,299029348,4,B,GENETIC LAB,,,Bader Sultan,,,,,,,,2010,USE,
BE00114,ABI PCR,Veriti,Veriti,299029338,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,Bader Sultan,,,,,,,,2010,USE,
BE00115,ABI PCR,Veriti,Veriti,299029343,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,Bader Sultan,,,,,,,,2010,USE,
BE00116,ABI PCR,Veriti,Veriti,299029323,4,B,GENETIC LAB,,,Bader Sultan,,,,,,,,2010,USE,
BE00117,ABI PCR,Veriti,Veriti,299029327,4,B,GENETIC LAB,,,Bader Sultan,,,,,,,,2010,USE,
BE00118,ABI PCR,Veriti,Veriti,2990212245,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,Bader Sultan,,,,,,,,2010,USE,
BE00119,ABI PCR,Veriti,Veriti,2990212253,4,B,GENETIC LAB,,,Bader Sultan,,,,,,,,2010,USE,
BE00120, Thermal Cycler BioRad,C+AC0-1000,C+AC0-1000,CC014200,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00121,Thermal Cycler BioRad,C+AC0-1000,C+AC0-1000,CC014199,4,B,GENETIC LAB,found in IICTU 2023,,,,,,,,,,2010,USE,
BE00122,Glowmax,PROMEGA,Glomax,517985359,4,B,GENETIC LAB,,,ATC,,,,,,,,2010,USE,
BE00123,UVP PCR WORKSTATION,95+AC0-0367+AC0-02,95+AC0-0367+AC0-02,P120710+AC0-003,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00124,UVP PCR WORKSTATION,95+AC0-0367+AC0-02,95+AC0-0367+AC0-02,P120710+AC0-004,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00125,UVP PCR WORKSTATION,95+AC0-0367+AC0-02,95+AC0-0367+AC0-02,P120710+AC0-005,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00126,Vortex,ABV+AC0-1,ABV+AC0-1,2010110212,4,B,GENETIC LAB,,,Tectron,,,,,,,,2011,USE,
BE00127,Fisher Microfuge,Mini,Mini,10514196,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00128,Autolipa,Autolipa 48,Autolipa 48,1407003150,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00129,Sorval,ST40R,ST40R,41179658,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00130,Thermomixer Eppendorf,5355,5355,5350AN136075,4,B,GENETIC LAB,,,C.C.C,,,,,,,,2010,USE,
BE00131,Thermomixer Eppendorf,5355,5355,5350YQ633264,4,B,GENETIC LAB,,,C.C.C,,,,,,,,2010,USE,
BE00132,Eppendorf,5424,5424,5424YR828433,4,B,GENETIC LAB,,,C.C.C,,,,,,,,2010,USE,
BE00133,Sciegene,Microincubator,Microincubator,HYX 090568,4,B,GENETIC LAB,,,,,,,+ACI- 2,400 +ACI-,,,,2012,USE,
BE00134,Sciegene,Microincubator,Microincubator,HYX100825,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00135,Sciegene,Microincubator,Microincubator,HYX100818,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00136,Sciegene,Microincubator,Microincubator,HYX100857,4,B,GENETIC LAB,found in Genome 1/11/21,,,,,,,,,,2011,USE,
BE00137,Heat Sealer,ALPS 25,ALPS 25,951/6604,4,B,BIO BANK,,,,,,,,,,,2009,USE,
BE00138,Heat Sealer,ALPS 25,ALPS 25,951/6603,4,B,GENETIC LAB,,,,,,,,,,,2009,USE,
BE00139,Shaker,Illumina,Illumina,100118007,4,B,GENETIC LAB,found in Genome 1/11/21,,TECTRON/ATC,,,,850,,,,2012,USE,
BE00140,FFGL2330V20 Enz,+AC0-20,+AC0-20,+ACI-,0114946301100806+ACI-,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00141,FFGL2330V20 Enz,+AC0-20,+AC0-20,+ACI-,0114940401100803+ACI-,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00142,FORMA+AC0-900 SERIES,+AC0-80,+AC0-80,820920+AC0-3228,4,A,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00143,FFEN2320V20 Enz,+AC0-20,+AC0-20,+ACI-,0114911301100723+ACI-,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00144,Eppendorf,5430,5430,5427YN310693,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,C.C.C,,,,,,,,2010,USE,
BE00145,Fisher Microfuge,Mini,Mini,10514193,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00146,Waterbath,NB9,NB9,02+AC0-1801,4,B,GENETIC LAB,found genome F3 29/08/2020,,,,,,,,,,2010,USE,
BE00147,Covaris E+AC0-Series Multiple Sample prep,E220,E220,001420/001516,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00148,Waterbath,Nb5,Nb5,02+AC0-0968,4,,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00149,Cell counter,Countess C10281,Countess C10281,14031+AC0-050,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00150,Vortex,ABV+AC0-1,ABV+AC0-1,2010110207,4,B,GENETIC LAB,,,Tectron,,,,,,,,2011,USE,
BE00151,Eppendorf Mini,Mini,Mini,5452ZJ254312,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00152,Microscope CKX41,olympus,CKX41,4B40648,4,B,GENETIC LAB,,,,,,,,,,,2004,USE,
BE00153,Biosafety cabinet,Labconco,Labconco,21138169,4,B,GENETIC LAB,,,,,,,,,,,2004,USE,
BE00154,CO2 Incubator,Sanyo,Sanyo,10070337,4,B,GENETIC LAB,,,MEC,,,,+ACI- 4,600 +ACI-,,,,2012,USE,
BE00155,Forma+AC0-FRGL4004V22,4,4,+ACI-,0117795701110217+ACI-,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00156,Agilent Bioanalyzer,G2938C,G2938C,DE04105587,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00157,IKA Shaker,MTS 2/4,MTS 2/4,3.302833,4,B,GENETIC LAB,,,,,,,850,,,,2012,USE,
BE00158,RT+AC0-PCR ,7500,7500,275005646,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00159,Fisher Microfuge,Mini,Mini,10514215,4,B,GENETIC LAB,found in Genome F3 29/08/2020,,,,,,,,,,2011,USE,
BE00160, Genetic Analyzer,Hittachi,3730XL,22161+AC0-005,4,B,GENETIC LAB,,,Badersulthan,,,,,,,,2010,USE,
BE00161,Fumehood,Fisher,Fisher,SAF 18015,4,B,GENETIC LAB,,,,,,,,,,,2004,USE,
BE00162,Vortex,Geini,Geini,D4+AC0-1146,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00163,Eppendorf,5424,5424,5424YR428432,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00164,Eppendorf,5430,5430,5427YN010692,4,B,GENETIC LAB,,,,,,,,,,,2010,USE,
BE00165,Eppendorf Mini,Mini,Mini,5452ZJ054305,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00166,Mini Centrifuge,C +AC0-1008+AC0-C,C +AC0-1008+AC0-C,12968,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00167,Mini Centrifuge,C +AC0-1008+AC0-C,C +AC0-1008+AC0-C,12965,4,B,IICTU,,,,,,,,,,,2010,USE,
BE00168,Vortex Mixer,STD MINI,STD MINI,120123003,4,B,IICTU,,,,,,,,,,,2011,USE,
BE00169,Vortex,ABV+AC0-1,ABV+AC0-1,2010110206,4,B,GENETIC LAB,,,Tectron,,,,,,,,2011,USE,
BE00170,Fisher Microfuge,Mini,Mini,10514316,4,B,GENETIC LAB,found in AHF 12th sept,,,,,,,,,,2011,USE,
BE00171,Fisher Microfuge,Mini,Mini,10514167,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00172,LABXPERT labelling system,NIL,NIL,519522,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00173,Microwave,LG+AC0-MS565645KR,LG+AC0-MS565645KR,002TAUE00166,4,B,GENETIC LAB,found in Store B1 25th oct,,,,,,,,,,2011,USE,
BE00174,Forma+AC0-FRGL4004V22,4,4,+ACI-,0117794701110217+ACI-,4,B,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00175,Nano Volume Spectrometer,EPOCH,Scandrop 200,254760,4,B,GENETIC LAB,,,Tectron,,,,,,,,2010,USE,
BE00176,REVCOULTIMA PLUS+AC0-ULT+AC0-2586,+AC0-80,+AC0-80,+ACI-,0129205101100728+ACI-,4,A,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00177,REVCOULTIMA PLUS+AC0-ULT+AC0-2586,+AC0-80,+AC0-80,+ACI-,0129205301100728+ACI-,4,A,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00178,FORMA+AC0-900 SERIES,+AC0-80,+AC0-80,820920+AC0-3225,4,A,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00179,FORMA+AC0-900 SERIES,+AC0-50,+AC0-50,821503+AC0-2137,4,A,GENETIC LAB,,,,,,,,,,,2011,USE,
BE00180,+ACI-Lab Tech,  LDF+AC0-9015U+ACI-,+AC0-80,+AC0-80,BCDLD11003C,3,B,BIO BANK,scrapped 30/5/23,,MedArabia,,,,,,,,2011,USE,
BE00181,+ACI-Thermo, Ultra Low Freezer, 995+ACI-,+AC0-80,+AC0-80,826304+AC0-5953,4,A,IICTU/PIBTU,freezer room,,,,,,+ACI- 6,175 +ACI-,,,,2012,USE,
BE00182,REVCOULTIMA+AC0-II SERIES ULT+AC0-2540,+AC0-40,+AC0-40,+ACI-,0128906201100219+ACI-,4,A,IICTU,freezer room,,,,,,,,,,2011,USE,
BE00183,+ACI-Ice maker flakes, +ACI-,Evermed,Evermed,2010070493188,4,A,Shared,,,TaiAlpha,,,,,,,,2004,USE,
BE00184,Cryomed Freezer,7451,7451,509741+AC0-182,3,B,BIO BANK,scrapped 30/5/23,,,,,,+ACI- 11,124 +ACI-,,,,2012,USE,
BE00185,+ACI-Glass wahser, Miele, G7883 CD+ACI-,MIELE,G7883 CD,00/ 53095332,4,A,Shared,NEED TO REPLCE,,,,,,,,,,2004,USE,
BE00186, Millipore water purification system,Milli Q 8/16,Milli Q 8/16,FOHA45682A,4,B,Freezer room,Scrapped,,,,,,,,,,2011,USE,
BE00187,+ACI-Ice maker cubs, Hoshizaki+ACI-,Hoshizaki,Hoshizaki,J01207,4,A,Shared,,,,,,,,,,,2011,USE,
BE00188,Sorval,Sorvall ST 40R,Sorvall ST 40R,41176979,4,B,IICTU/PIBTU,,,TSST,,,,,,,,2011,USE,
BE00189,Carl Zeiss MicroImaging (PIBTU LAB),Primovert,Primovert,3841001579,4,B,IICTU/PIBTU,,,,,,,+ACI- 1,500 +ACI-,,,,2012,USE,
BE00190,Biosafety cabinet,Labconco,Labconco,21138170,4,B,IICTU/PIBTU,,,,,,,,,,,2004,USE,
BE00191,Steri+AC0-Cult CO2 Incubator,ThermoFisher,3311,319182+AC0-627,4,B,IICTU/PIBTU,,,CCC,,,,,,,,2010,USE,
BE00192,Steri+AC0-Cult CO2 Incubator,ThermoFisher,3311,319182+AC0-628,4,B,IICTU/PIBTU,,,CCC,,,,,,,,2011,USE,
